,ISBN,store_name,gender_of_owner,2010_revenue_till_june,2011_revenue_till_june,2012_revenue_till_june,2013_revenue_till_june,2014_revenue_till_june,2015_revenue_till_june,2016_revenue_till_june,2017_revenue_till_june,2018_revenue_till_june,2019_revenue_till_june,2020_revenue_till_june,zip_codes
938,661003412-5,Murazik-Welch,Male,164857,181609,198850,214538,226845,242982,256467,273232,292642,302662,194065,94590
939,719443762-7,Jakubowski-Schulist,Male,198639,212844,224848,244266,255473,272648,286035,305205,324044,340234,192232,94133
940,243390420-X,"Marks, Heidenreich and Oberbrunner",Male,166641,185529,196500,213547,227401,244472,262912,279745,293353,304772,161995,94130
941,671220942-0,Murphy LLC,Male,105875,117589,132275,144296,156275,168805,182174,199582,216029,233956,118897,94954
942,764582798-X,O'Reilly LLC,Female,114726,127359,139927,154027,168021,184368,203146,213190,228281,240616,95069,94585
943,548973750-6,"Hayes, Mueller and Sporer",Female,143994,155817,168852,179448,192108,208641,222260,233805,251222,263709,131900,94022
944,652574667-1,Collier and Sons,Female,75022,83272,92440,100636,111991,126275,137561,149783,163228,179892,105668,94596
945,883911270-7,Glover-Renner,Male,166238,179380,190290,205456,223896,242469,260134,271469,286894,305863,185347,94116
946,111741114-1,"Durgan, Schmidt and Harber",Male,102179,114071,125290,137910,149640,164426,180461,194987,209607,222821,108290,94707
947,137671748-4,Tremblay-Conroy,Female,51522,60864,67109,72702,78923,85268,93353,99245,107016,119637,77735,94946
948,232178454-7,Kilback-Hammes,Male,197245,215137,230511,246219,260611,279044,294165,309503,320463,334525,212835,94132
949,157448683-7,Murphy LLC,Female,191863,209600,225837,242137,254040,268237,281481,295392,310069,322829,198573,94559
950,629378043-4,Altenwerth and Sons,Female,63659,69170,74382,83152,88230,95672,105671,119734,130374,144435,101659,94704
951,282694249-2,"Leuschke, Mueller and Morar",Male,96409,105853,118037,130207,143643,155026,169915,180632,193857,207343,106291,94030
952,603209552-5,"Walsh, Schinner and Feest",Male,195455,213811,224343,234515,252512,267815,278417,297517,313759,326090,180029,94585
953,869518504-4,"Towne, Gibson and Abernathy",Male,127198,140838,150860,166582,177462,197286,214326,224428,240488,253868,144409,94546
954,101753493-4,"Howell, Mitchell and Reichel",Female,52970,58613,64702,70682,76003,82286,92142,100638,111738,125004,79692,94105
955,885273618-2,Reichel Inc,Male,56607,66599,74497,81925,91294,97689,106723,118121,131235,143441,98445,94607
956,522693940-X,Ritchie Group,Female,146854,160466,178455,193009,206942,225901,241505,258214,272273,283859,169476,94607
957,962964604-8,Wolf Group,Male,144905,158869,172904,187800,203970,213990,227571,241083,256209,268450,162887,94920
958,313650015-6,"Fritsch, Gutkowski and Yost",Female,185752,204375,219649,238901,251884,263282,280815,294941,309395,321886,215296,94964
959,922218112-3,"Fay, Connelly and Skiles",Male,91934,100880,111928,126867,140925,153576,163926,178849,197732,209936,90997,94619
960,217204166-1,Gulgowski-Daniel,Male,158476,171762,183198,196906,209256,223870,239636,251165,270713,285574,176538,94402
961,775172769-1,Sauer-Marquardt,Male,61743,70579,75895,81398,90890,97229,104281,117179,129132,142292,100408,94086
962,891260181-4,Labadie-Pfeffer,Male,134525,147231,160512,171479,184702,200806,217427,230556,245365,256575,129210,94115
963,746632003-1,"Bergstrom, Lueilwitz and Oberbrunner",Male,96534,103977,115455,127249,138047,150653,166317,181202,194410,210175,64094,95476
964,889935181-3,Blanda-White,Female,123874,136522,147680,159472,170747,183564,196503,210608,222178,238568,90820,94130
965,516075378-8,"Friesen, Mante and McCullough",Female,74924,82421,90449,97120,106410,118908,131768,145566,156671,168144,101057,94040
966,742689608-0,Towne-Powlowski,Female,76737,83860,91796,99071,106470,119254,130062,140496,151833,170851,72613,94305
967,550971445-X,"Kris, Blick and Hammes",Female,88462,96808,106060,117159,130568,145194,159562,176239,187482,207296,67250,94708
968,107216723-9,Williamson-Aufderhar,Male,107856,122046,136660,150210,169086,184340,194602,204679,220916,230949,87612,94134
969,599020477-9,"Davis, Keeling and Hills",Female,140166,153630,173391,192448,211881,226138,240942,254816,266661,282104,166091,94706
970,149889035-0,Dooley and Sons,Male,52039,58471,66821,74867,82225,89504,96280,105042,117480,130197,82924,94506
971,730191653-1,Bruen-Lesch,Female,177497,197082,212485,223634,238007,255937,270172,289875,306827,324200,204026,94111
972,099807467-5,Hermiston Inc,Male,54552,61846,68640,77895,87790,93958,99374,105847,120051,130683,73172,94613
973,889825264-1,Hansen and Sons,Female,160886,177484,196429,211047,231026,243929,258540,268544,285064,296047,149730,94586
974,358778874-X,"Upton, Ullrich and Gulgowski",Female,59360,65085,71442,81360,89754,99683,108937,123006,134210,147274,96832,94526
975,289951811-9,Beatty and Sons,Female,71851,77879,86404,94744,101405,112525,122856,132934,147813,162039,76785,94591
976,156125773-7,"Prohaska, White and Kohler",Male,56582,63478,70073,79588,84910,94550,101541,112635,123463,136834,81006,94107
977,637894874-7,Boyer-Brown,Female,125397,136948,150992,163993,181775,196221,211683,231494,246993,263862,143107,94521
978,985556112-0,Shields Inc,Female,96983,105173,119534,132571,143822,155764,174317,190009,206671,223772,73782,94706
979,609776411-1,Bergstrom and Sons,Female,122825,135113,145699,160429,173705,192190,202512,219063,231129,249817,124827,94549
980,981470778-3,Nienow-Hoeger,Male,133049,147167,161340,176706,187779,207690,223208,233335,247870,260298,115376,94402
981,940371390-9,Jakubowski Inc,Female,125473,140414,154188,170741,189789,200066,218025,229796,241923,255203,109209,94040
982,631019797-5,Heaney-Bahringer,Female,195819,213995,230837,244234,257651,276935,294334,309687,321342,332691,219260,94611
983,632338477-9,"Schowalter, Bechtelar and Weber",Female,126630,140949,151254,167047,182846,193959,212799,231687,244779,263353,136714,94965
984,813561625-2,Lueilwitz LLC,Female,55977,61822,67598,75319,85304,93291,99432,105877,118523,132867,67307,94706
985,273201750-7,Shanahan LLC,Female,80652,88920,96161,103969,117324,131418,145293,156194,175457,191379,114220,94618
986,684365479-7,"Osinski, Quitzon and Murazik",Female,181861,195329,207058,221561,240477,257766,271532,285589,305339,316380,170821,94588
987,598083562-8,"Glover, Metz and Smitham",Male,171714,185183,197390,209571,225653,242397,260010,271456,288667,299515,162202,94964
988,662344591-9,Gibson-Beahan,Female,177238,194586,212127,230475,244898,256429,272687,290172,307250,321698,181621,94131
989,939639277-4,"McClure, Fahey and Hirthe",Male,143424,158018,176791,195185,207092,220177,238687,257436,275996,290193,175487,94568
990,475106921-7,Nikolaus-Nicolas,Male,99687,108890,119233,131535,142676,154581,173958,193384,203988,218869,112952,94585
991,877234675-2,"Douglas, Goldner and Gusikowski",Male,148777,160892,180656,192153,208504,223760,240347,253275,272379,287745,163944,94005
992,848141688-6,"Jenkins, Kilback and Jaskolski",Male,81510,88453,97057,103511,115442,130305,145305,155939,174069,184610,123336,94579
993,040150221-X,Brakus Inc,Female,134185,144861,159626,172546,187888,201643,216858,230715,241822,253204,110594,94545
994,592424912-3,Feil Inc,Female,97983,107116,118458,130774,142160,152556,166691,178019,197267,212170,106032,94306
995,430741933-2,Schmidt Group,Male,129087,143895,157321,176913,188043,204113,214693,225156,239869,259407,123179,94925
996,151584677-6,Gutmann Group,Female,160496,171887,182634,195951,211125,224358,235581,253915,268644,284046,162551,94566
997,931442827-3,"Goldner, Boyle and Dare",Male,178058,193460,212453,224362,239301,256301,275071,289119,305645,315772,208802,94542
998,586881084-8,"Oberbrunner, Murphy and Wehner",Female,121307,134097,146734,158570,175758,188043,198465,211449,228204,248106,105525,94514
999,329864330-0,Kulas Inc,Male,132588,143353,154075,164702,184362,203422,218496,228509,248232,265770,117350,94608
